EdSheeran , 0.34
EddieIzzard , 0.06
EdwardNorton , 0.18
EllieGoulding , 0.13
EllieKemper , 0.13
ElonMusk , 0.92
EltonJohn , 0.13
ElvisCostello , 0.09
Eminem , 0.41
EmmaWatson , 0.92
EnriqueIglesias , 0.11
Enya , 0.09
EricClapton , 0.11
FrankieBoyle , 0.02
G-Eazy , 0.09
GeorgeClooney , 0.5
GeorgeLopez , 0.06
GillianAnderson , 0.13
GillianJacobs , 0.13
GlennBeck , 0.05
GraceHelbig  , 0.07
GregBehrendt , 0.05
GucciMane , 0.07
GwenStefani , 0.13
GwynethPaltrow , 0.22
HaileeSteinfeld , 0.11
HalleBerry , 0.18
Halsey , 0.11
HannahHart , 0.06
HarryHill , 0.05
HarryStyles , 0.13
HilarySwank , 0.11
HughLaurie , 0.11
HugoEgonBalder , 0.04
HåkanHellström , 0.01
IdinaMenzel , 0.11
J_Cole , 0.1
JackBenny , 0.02
JackBlack , 0.18
JackNicholson , 0.16
JacksonBrowne , 0.04
JamesTaylor , 0.02
JaneFonda , 0.06
JanetVarney , 0.07
JaredLeto , 0.13
JasonBateman , 0.09
JasonBiggs , 0.09
JasonDerulo , 0.1
JasonMraz , 0.1
Jay-Z , 0.18
JayBaruchel , 0.06
JayChou , 0.34
JeffFoxworthy , 0.07
JennaMarbles , 0.09
JenniferLawrence , 0.41
JenniferLopez , 0.22
JennyMcCarthy , 0.09
JillianBell , 0.07
JimBelushi , 0.06
JimCarrey , 0.34
JimmyKimmel , 0.5
JodieFoster , 0.18
JoeRogan , 0.5
JoelMcHale , 0.05
JohnLeguizamo , 0.02
JohnLennon , 0.27
JohnMayer , 0.11
JohnMcafee , -0.42
JohnMulaney , 0.06
JohnTravolta , 0.13
JohnnyDepp , 0.34
JonLajoie , 0.06
JoniMitchell , 0.04
JuliaLouis-Dreyfus , 0.09
JuliaRoberts , 0.22
JulianBarratt , 0.05
JulianneMoore , 0.12
JustinBieber , 0.5
JustinTimberlake , 0.34
JürgenBecker , 0.05
KanyeWest , 0.92
KateHudson , 0.5
KateMicucci , 0.22
KateWinslet , 0.41
KatyPerry , 0.61
Kehlani , 0.06
KellyClarkson , 0.18
KenJeong , 0.13
KendrickLamar , 0.27
Kesha , 0.41
KevinHart , 0.13
KevinJames , 0.12
KevinSpacey , 0.13
KyleMooney , 0.06
LaurenLapkus , 0.02
LenaHeadey , 0.34
LeonardoDiCaprio , 0.5
LewisBlack , 0.04
LiamNeeson , 0.13
LilWayne , 0.13
